date,open,high,low,close,adjusted_close,volume
2020-03-10,174.67,178.29,169.5,178.19,177.2289600216,2.4517791E7
2020-03-11,174.01,175.88,167.66,170.24,169.3218371069,2.0397204E7
2020-03-12,159.54,166.6,154.34,154.47,153.6368901428,4.3266335E7
2020-03-13,163.53,170.79,157.6,170.28,169.3616213732,3.5028627E7
2020-03-16,152.32,159.13,143.1,146.01,145.2225178335,3.9120419E7
2020-03-17,150.74,153.94,140.0,149.42,148.6141265303,3.4255596E7
2020-03-18,139.75,148.18,137.1,146.96,146.1673941567,3.7553136E7
2020-03-19,146.62,159.93,144.8,153.13,152.3041172238,3.9862312E7
2020-03-20,156.02,159.27,148.0,149.73,148.9224545936,3.2568398E7
2020-03-23,149.66,152.31,142.25,148.1,147.3012457444,2.9830765E7
2020-03-24,155.21,161.31,152.57,160.98,160.1117794729,3.0440369E7
2020-03-25,158.92,162.99,153.06,156.21,155.3675057241,3.5184271E7
2020-03-26,158.25,164.0,157.02,163.34,162.4590511809,2.6579021E7
2020-03-27,158.2,160.09,154.75,156.79,155.9443775845,2.4879869E7
2020-03-30,159.18,166.75,158.06,165.95,165.0549745529,2.2515225E7
2020-03-31,165.48,170.93,164.2,166.8,165.9003902105,2.3676283E7
2020-04-01,161.62,164.15,158.04,159.6,158.7392222877,1.9507559E7
2020-04-02,159.1,161.35,155.92,158.19,157.3368269029,2.0886309E7
2020-04-03,157.15,157.91,150.83,154.18,153.3484542125,2.5983317E7
2020-04-06,160.15,166.2,158.51,165.55,164.6571318906,2.8453581E7
2020-04-07,171.79,173.39,166.01,168.83,167.919441722,3.1411919E7
2020-04-08,171.25,175.0,167.74,174.28,173.3400479969,2.1664198E7
2020-04-09,175.9,177.08,171.57,175.19,174.2451400538,2.3534287E7
2020-04-13,173.67,175.0,169.45,174.79,173.8472973914,1.9355355E7
2020-04-14,178.98,181.23,176.62,178.17,177.2090678885,2.1011815E7
2020-04-15,175.19,178.19,172.82,176.97,176.0155399014,1.7423003E7
2020-04-16,177.95,178.05,172.51,176.25,175.2994231091,2.3593229E7
2020-04-17,179.2,180.28,176.66,179.24,178.2732970104,2.097475E7
2020-04-20,177.41,180.5,176.77,178.24,177.2786903544,1.6110664E7
2020-04-21,175.25,175.38,168.34,170.8,169.8788168342,2.4850528E7
2020-04-22,178.45,184.78,178.14,182.28,181.2969012444,3.3369931E7
2020-04-23,184.08,187.05,183.15,185.13,184.1315302138,2.1426604E7
2020-04-24,183.23,190.41,180.83,190.07,189.0448870942,2.8868528E7
2020-04-27,192.66,193.75,187.41,187.5,186.4887479884,2.919775E7
2020-04-28,188.66,189.2,182.56,182.91,181.9235034377,2.1730986E7
2020-04-29,190.93,196.91,190.0,194.19,193.1426665166,4.5954521E7
2020-04-30,206.92,209.69,201.57,204.71,203.6059285371,4.6230116E7
2020-05-01,201.6,207.28,199.05,202.27,201.1790882966,3.0415581E7
2020-05-04,200.2,205.91,198.76,205.26,204.1529621979,1.9250673E7
2020-05-05,207.02,210.38,206.5,207.07,205.9532002451,2.1071223E7
2020-05-06,208.12,211.6,206.66,208.47,207.3456495634,2.1856963E7
2020-05-07,211.16,211.6,209.04,211.26,210.1206021335,1.5151976E7
2020-05-08,212.24,213.21,210.85,212.35,211.2047233885,1.2524048E7
2020-05-11,210.89,215.0,210.37,213.18,212.0302469129,1.2911948E7
2020-05-12,213.29,215.28,210.0,210.1,208.9668584126,1.4704647E7
2020-05-13,209.43,210.78,202.11,205.1,203.9938251329,2.0684559E7
2020-05-14,202.56,206.93,200.69,206.81,205.6946025146,1.7178947E7
2020-05-15,205.27,211.34,204.12,210.88,209.7426516042,1.9383154E7
2020-05-18,212.15,214.64,210.94,213.19,212.0401929795,2.0167443E7
2020-05-19,213.27,220.49,212.83,216.88,215.7102915399,3.1843152E7
2020-05-20,223.5,231.34,223.19,229.97,228.7296926661,5.0162875E7
2020-05-21,234.72,237.2,231.2,231.39,230.1420341175,4.7577915E7
2020-05-22,231.51,235.99,228.74,234.91,233.6430495464,3.3925564E7
2020-05-26,239.77,240.9,231.67,232.2,230.9476655088,3.3178318E7
2020-05-27,229.07,230.56,221.13,229.14,227.9041691417,3.4697553E7
2020-05-28,224.3,231.63,224.0,225.46,224.2440166478,2.9423013E7
2020-05-29,225.2,227.49,222.88,225.09,223.8760121851,2.3322476E7
2020-06-01,224.59,232.44,223.5,231.91,230.6592295786,1.8223839E7
2020-06-02,230.94,233.0,226.56,232.72,231.4648609699,2.0919018E7
2020-06-03,232.11,232.65,228.53,230.16,228.9186679307,1.5380282E7
2020-06-04,229.56,231.63,224.61,226.29,225.0695401722,1.7041481E7
2020-06-05,226.71,231.35,225.31,230.77,229.5253779909,1.6750438E7
2020-06-08,229.03,231.55,227.41,231.4,230.1519801841,1.5466499E7
2020-06-09,231.52,239.77,230.41,238.67,237.3827705728,2.7462872E7
2020-06-10,240.96,241.21,235.28,236.73,235.4532336602,2.0720709E7
2020-06-11,229.94,232.89,223.55,224.43,223.2195717922,2.6708163E7
2020-06-12,229.9,231.66,224.5,228.58,227.3471894143,2.2091387E7
2020-06-15,225.09,233.77,224.8,232.5,231.2460475056,1.5340264E7
2020-06-16,237.14,238.46,233.0,235.65,234.3790584718,1.5236691E7
2020-06-17,235.0,237.59,231.73,235.53,234.2597056731,1.9578125E7
2020-06-18,234.99,236.14,232.15,235.94,234.6674944021,1.5782452E7
2020-06-19,237.79,240.83,235.55,238.79,237.5021233715,3.0081291E7
2020-06-22,238.56,240.7,236.91,239.22,237.9298042335,1.8917782E7
2020-06-23,241.28,245.19,239.86,242.24,240.9335163345,2.4017915E7
2020-06-24,241.2,243.22,232.68,234.02,232.7578496227,2.0834904E7
2020-06-25,234.62,237.3,232.74,235.68,234.4088966715,1.8704339E7
2020-06-26,232.64,233.09,215.4,216.08,214.9146062151,7.6343939E7
2020-06-29,209.75,220.75,207.11,220.64,219.4500125662,5.8514281E7
2020-06-30,220.59,227.5,218.47,227.07,225.8453333639,3.3927068E7
2020-07-01,228.5,239.0,227.56,237.55,236.2688111181,4.3403869E7
2020-07-02,239.0,240.0,232.61,233.42,232.1610856291,3.063597E7
2020-07-06,233.76,240.4,232.27,240.28,238.9840872888,2.6208488E7
2020-07-07,239.41,247.65,238.82,240.86,239.5609591493,2.7887936E7
2020-07-08,238.11,246.99,236.59,243.58,242.2662892534,2.9793184E7
2020-07-09,245.0,246.53,239.24,244.5,243.1813273769,2.2175054E7
2020-07-10,243.69,245.49,239.32,245.07,243.7482531708,2.2982716E7
2020-07-13,247.01,250.15,238.42,239.0,237.7109907692,2.4674883E7
2020-07-14,236.76,240.33,232.03,239.73,238.4370536281,2.3378056E7
2020-07-15,241.55,244.82,238.05,240.28,238.9840872888,1.9134627E7
2020-07-16,238.0,241.76,236.33,240.93,239.6305816152,1.88808E7
2020-07-17,241.0,244.16,237.86,242.03,240.7246489367,1.8152413E7
2020-07-20,240.06,246.05,235.64,245.42,244.0963655003,2.0797388E7
2020-07-21,246.22,246.91,240.08,241.75,240.4461590731,1.864684E7
2020-07-22,240.26,241.9,238.12,239.87,238.5762985599,1.5427885E7
2020-07-23,239.63,242.42,231.75,232.6,231.3455081712,2.1771802E7
2020-07-24,230.19,233.49,226.9,230.71,229.4657015915,1.8325813E7
2020-07-27,231.46,234.95,230.83,233.5,232.2406541616,1.3163083E7
2020-07-28,234.63,234.96,229.83,230.12,228.8788836645,1.4170112E7
2020-07-29,231.14,233.7,230.31,233.29,232.0317867638,1.3588317E7
2020-07-30,230.22,234.893,229.0,234.5,233.2352608175,2.0615306E7
2020-07-31,255.82,255.85,249.0,253.67,252.3018704118,5.3030037E7
2020-08-03,252.65,255.4,250.33,251.96,250.6010930302,2.3134103E7
2020-08-04,251.56,252.8,247.43,249.83,248.482580853,1.7183533E7
2020-08-05,250.19,252.2698,247.77,249.12,247.7764101273,1.3088361E7
2020-08-06,249.04,266.6,248.665,265.28,263.8492536873,4.5241611E7
2020-08-07,264.08,278.89,263.43,268.44,266.99221072,7.2766364E7
2020-08-10,268.04,273.86,259.69,263.0,261.5815505117,3.0248826E7
2020-08-11,260.185,265.915,255.13,256.13,254.7486027854,2.8238283E7
2020-08-12,258.97,263.8973,258.1125,259.89,258.4883238118,2.1428329E7
2020-08-13,261.55,265.16,259.57,261.3,259.8907191966,1.737397E7
2020-08-14,262.305,262.65,258.6801,261.24,259.8310427973,1.4792708E7
2020-08-17,262.5,264.0973,259.4,261.16,259.7514742648,1.3303174E7
2020-08-18,260.95,265.15,259.26,262.34,260.9251101188,1.8690383E7
2020-08-19,261.388,267.908,261.35,262.59,261.1737617828,2.3291463E7
2020-08-20,261.5,269.63,261.46,269.01,267.5591365139,2.0299688E7
2020-08-21,268.69,270.49,266.42,267.01,265.5699232021,1.5538615E7
2020-08-24,271.07,277.2478,268.7701,271.39,269.9263003551,2.3685603E7
2020-08-25,272.41,283.09,270.2601,280.82,279.3054411206,4.212724E7
2020-08-26,284.0,304.67,284.0,303.91,302.2709088062,6.9015151E7
2020-08-27,300.16,301.23,292.02,293.22,291.6385636542,3.0301309E7
2020-08-28,295.0,297.23,290.98,293.66,292.0761905828,1.7172415E7
2020-08-31,293.95,296.88,291.55,293.2,291.6186715211,1.7345134E7
2020-09-01,294.71,301.49,292.71,295.44,293.8465904304,1.7320872E7
2020-09-02,298.88,303.6,293.05,302.5,300.8685134213,2.4341369E7
2020-09-03,295.99,297.6,283.63,291.12,289.5498896767,3.2294092E7
2020-09-04,287.25,289.0,271.14,282.73,281.2051398334,3.0333671E7
2020-09-08,271.28,279.3,269.42,271.16,269.6975408242,2.4863997E7
2020-09-09,275.77,278.48,271.35,273.72,272.2437338634,2.2918769E7
2020-09-10,275.51,279.16,267.0319,268.09,266.6440983905,2.4814669E7
2020-09-11,270.06,271.39,262.64,266.61,265.1720805397,1.8913883E7
2020-09-14,270.95,276.64,265.7,266.15,264.7145614779,2.409383E7
2020-09-15,270.67,274.52,269.3,272.42,270.9507452107,1.847853E7
2020-09-16,267.29,272.44,261.79,263.52,262.0987459728,2.9207594E7
2020-09-17,258.28,261.5,250.19,254.82,253.4456680662,3.1281441E7
